"Height" "Weight" "Age" "Salary" "Team" "Position" "Games played" "Minutes" "Fields goals made" "Fields goal attempted" "% Fields goal made" "3pts FGM" "3pts  FGA" "% 3pts FG" "Free throws made" "Free throws attempted" "% FT" "Off rebond" "Def rebond" "Total rebond" "Assits" "Turnover" "Steals" "Blocks" "Blocked fields goals attempted" "Personnal fouls" "Personnal fouls drawn" "Points" "Point differential of the score"
"Chris Andersen" 2.08 111.1 33 341756 "Miami Heat" "Center" 42 14.9 1.7 2.9 0.58 0 0.1 0.67 1.5 2.2 0.68 1.4 2.7 4.1 0.4 0.6 0.4 1 0.3 2.1 2.1 4.9 2.3
"Chris Bosh" 2.11 106.1 28 17545000 "Miami Heat" "Center" 74 33.2 6.6 12.3 0.54 0.3 1 0.28 3.3 4.1 0.8 1.8 5 6.8 1.7 1.7 0.9 1.4 0.6 2.3 3.1 16.6 6.4
"Dexter Pittman" 2.11 139.7 24 854389 "Miami Heat" "Center" 4 2.9 0.8 1.3 0.6 0 0 0 0 0 0 1 0.8 1.8 0 0.5 0 0 0.3 1 0 1.5 -2.8
"Dwyane Wade" 1.93 99.8 30 17182000 "Miami Heat" "Guard" 69 34.6 8.2 15.8 0.52 0.2 1 0.26 4.5 6.2 0.73 1.2 3.7 5 5.1 2.8 1.9 0.8 0.5 2 4.7 21.2 8.3
"James Jones" 2.03 97.5 31 1500000 "Miami Heat" "Forward" 38 5.8 0.6 1.6 0.34 0.4 1.4 0.3 0.1 0.1 0.5 0 0.6 0.6 0.3 0.1 0.1 0.2 0 0.4 0.1 1.6 -0.4
"Jarvis Varnado" 2.06 104.3 24 217301 "Miami Heat" "Forward" 8 5 0.1 0.4 0.33 0 0 0 0 0 0 0.1 0.6 0.8 0.3 0.6 0 0.3 0.1 1.1 0.3 0.3 -2.8
"Joel Anthony" 2.06 111.1 29 3750000 "Miami Heat" "Center" 62 9.1 0.6 1.1 0.52 0 0 0 0.3 0.5 0.61 0.7 1.1 1.9 0.2 0.4 0.2 0.7 0.1 0.8 0.4 1.4 0.5
"Josh Harrellson" 2.08 124.7 23 762195 "Miami Heat" "Center" 6 5.1 0.7 1.5 0.44 0.2 0.8 0.2 0.2 0.3 0.5 0.5 0.7 1.2 0 0.5 0.2 0.2 0 0.7 0.2 1.7 -0.2
"Juwan Howard" 2.06 117.9 39 135697 "Miami Heat" "Forward" 7 7.2 1.4 2.7 0.53 0 0 0 0.1 0.1 1 0 1.1 1.1 0.9 0.6 0 0 0.3 1.3 0.3 3 -1.9
"James LeBron" 2.03 113.4 27 17545000 "Miami Heat" "Forward" 76 37.9 10.1 17.8 0.57 1.4 3.3 0.41 5.3 7 0.75 1.3 6.8 8 7.3 3 1.7 0.9 0.5 1.4 5.8 26.8 9.5
"Mario Chalmers" 1.88 86.2 26 4000000 "Miami Heat" "Guard" 77 26.9 2.9 6.9 0.43 1.6 3.9 0.41 1.2 1.5 0.8 0.2 2 2.2 3.5 1.5 1.5 0.2 0.3 2.5 1.6 8.6 7.4
"Mike Miller" 2.03 98.9 32 5800000 "Miami Heat" "Forward" 59 15.2 1.7 3.9 0.43 1.2 3 0.42 0.1 0.2 0.73 0.3 2.4 2.7 1.7 0.6 0.4 0.1 0.1 1.1 0.3 4.8 0.9
"Norris Cole" 1.88 79.4 23 1082520 "Miami Heat" "Guard" 80 19.9 2.2 5.3 0.42 0.4 1.2 0.36 0.7 1 0.65 0.2 1.4 1.6 2.1 1.3 0.7 0.1 0.4 1.9 1.1 5.6 0.1
"Rashard Lewis" 2.08 106.6 32 1352181 "Miami Heat" "Forward" 55 14.4 1.9 4.5 0.41 0.9 2.4 0.39 0.5 0.8 0.62 0.3 1.9 2.2 0.5 0.6 0.4 0.3 0.2 1.2 0.8 5.2 -0.4
"Ray Allen" 1.96 93 36 3090000 "Miami Heat" "Guard" 79 25.8 3.7 8.2 0.45 1.8 4.2 0.42 1.8 2 0.89 0.5 2.2 2.7 1.7 1.3 0.8 0.2 0.3 1.6 1.5 10.9 2.2
"Shane Battier" 2.03 99.8 33 3135000 "Miami Heat" "Forward" 72 24.8 2.1 5 0.42 1.9 4.4 0.43 0.4 0.5 0.84 0.5 1.8 2.3 1 0.5 0.6 0.8 0.1 2.1 0.9 6.6 4.7
"Terrel Harris" 1.93 86.2 25 313845 "Miami Heat" "Guard" 7 4.1 0.3 1.1 0.25 0 0.1 0 0.9 1.1 0.75 0.6 0.7 1.3 0.3 0.6 0 0 0.3 0.4 0.6 1.4 0.3
"Udonis Haslem" 2.03 106.6 32 4060000 "Miami Heat" "Forward" 75 18.8 1.7 3.3 0.51 0 0 0 0.4 0.6 0.71 1.3 4.1 5.4 0.5 0.6 0.4 0.2 0.3 2.3 1.2 3.9 3.6
"Daniel Orton" 2.08 124.7 21 854389 "Oklahoma City Thunder" "Center" 13 8 0.9 2 0.46 0 0 0 0.7 1.3 0.53 1 1 2 0.3 0.3 0.3 0.2 0.2 1 0.8 2.5 -1.2
